Words,HomoDensity,Num-Neighbors,Freq-Neighbors
的,1,9,499618
我,1,261,4885412
"你, 妳, 拟",3,261,5241027
"是, 事, 试, 室, 式, 市, 士, 世, 视, 誓, 氏, 势, 嗜, 示, 逝, 饰, 识, 释, 适, 侍, 噬, 仕, 拭, 舐, 柿, 弑, 轼, 谥, 铈",29,306,6154407
"了, 瞭, 蓼",3,261,5622715
"不, 部, 步, 布, 簿, 钚, 怖, 钸, 咘, 埠, 鈈, 歩",12,304,6472516
"他, 她, 它, 塌, 祂, 牠, 铊",7,277,2553481
"在, 再, 载",3,305,6686024
我们,1,1,112946
"好, 号, 耗, 浩, 镐, 昊, 皓, 晧",8,304,6825829
"有, 友, 黝, 酉, 铕, 莠",6,262,6324260
"这, 蔗",2,306,6897931
"就, 救, 旧, 究, 舅, 咎, 厩, 臼, 鹫, 柩, 疚",11,305,6900614
"吗, 妈, 嬷",3,278,2977245
"会, 汇, 惠, 绘, 秽, 慧, 烩, 喙, 恵, 贿, 荟, 讳, 晦, 诲, 彗",15,306,6942014
"要, 药, 耀, 鹞",4,306,6973010
什么,1,2,3089
说,1,276,2992976
"想, 响, 享, 飨",4,262,6431641
"一, 伊, 衣, 依, 医, 咿, 铱, 壹, 噫, 揖",10,278,3041482
"很, 狠, 佷",3,261,6368611
知道,1,34,43864
"人, 仁, 壬, 朲, 亻",5,219,1980452
吧,1,12,2124557
"那, 呐, 纳, 钠, 吶",5,305,7038321
"来, 莱, 棶, 铼, 梾",5,218,1986101
"都, 兜, 唗",3,277,3044332
个,1,11,2019139
能,1,217,2005540
"去, 趣, 觑",3,305,7016452
"没, 枚, 梅, 媒, 莓, 眉, 霉, 酶, 煤, 玫, 楣, 湄, 鎇",13,219,2028799
"和, 或, 货, 获, 霍, 祸, 嚯, 惑, 豁, 壑, 镬, 嚄, 擭, 藿",14,305,7028413
"他们, 它们, 她们",3,1,2356
"到, 倒, 道, 盗, 蹈, 悼, 稻, 稲",8,305,7028543
"做, 坐, 作, 座, 凿",5,304,7030005
"对, 队, 兑, 対, 怼",5,304,7033424
"啊, 阿",2,275,3085833
"也, 野, 嘢, 冶",4,262,6443233
"还, 环, 寰, 郇, 缳, 锾, 镮",7,220,2049318
"把, 靶",2,263,6650063
"让, 譲",2,304,7048527
给,1,259,6448990
一个,1,0,0
"上, 尚, 绱, 丄",4,305,7063124
你们,1,1,371696
过,1,306,7061833
没有,1,12,66754
得,1,259,6461019
"真, 针, 珍, 侦, 贞, 斟, 砧, 臻, 榛, 祯, 胗",11,277,3118586
"看, 勘",2,305,7071318
"着, 卓, 啄, 灼, 酌, 拙, 浊, 琢, 斮, 擢, 镯",11,218,2073071
"干, 钱, 前, 潜, 钳, 乾, 箝, 虔",8,220,2083441
这个,1,8,110759
怎么,1,0,0
现在,1,22,13230
"只, 指, 纸, 止, 趾, 酯, 址, 旨, 祇, 祉, 芷",11,262,6519240
可以,1,11,38785
"点, 典, 碘, 踮",4,261,6494851
呢,1,8,2102872
如果,1,6,17136
"像, 向, 象, 项, 巷, 橡",6,306,7315502
"但, 蛋, 弹, 石, 淡, 氮, 旦, 诞, 惮, 澹",10,305,7099908
别,1,305,7102706
哦,1,220,2140155
"被, 倍, 贝, 备, 辈, 孛, 悖, 焙, 蓓, 钡",10,305,7114666
"跟, 根",2,276,3153498
"太, 泰, 态, 钛, 肽, 汰, 酞",7,305,7111262
"里, 理, 李, 礼, 锂, 鲤, 俚, 浬, 筣",9,262,6513735
走,1,260,6502307
这样,1,15,114806
"快, 块, 侩, 桧, 筷, 鲙, 脍",7,303,7109338
告诉,1,18,3038
"因为, 音位",2,27,10573
"自己, 自给",2,13,3883
"下, 吓, 夏, 厦",4,305,7118786
"听, 厅, 汀",3,277,3181989
这里,1,21,37745
"多, 夺, 铎, 掇",4,219,2121623
"见, 件, 建, 剑, 舰, 箭, 贱, 健, 键, 溅, 鉴, 渐, 践, 腱, 僭, 槛, 荐, 饯, 谏",19,305,7130162
谁,1,217,2119414
但是,1,76,95441
"用, 佣",2,304,7120778
时候,1,39,50718
已经,1,6,7061
"最, 罪, 醉",3,304,7128994
谢谢,1,14,1612
为什么,1,1,3492
觉得,1,4,9509
"天, 添",2,277,3175286
"为, 维, 唯, 围, 微, 薇, 韦, 违, 惟, 桅, 帷, 闱, 帏",13,220,2156785
这么,1,2,44422
"从, 丛, 淙",3,218,2125063
"找, 爪, 沼",3,261,6527821
先生,1,28,48853
"可, 渴",2,262,6533822
喜欢,1,2,167
"而, 儿, 鸸",3,219,2135140
"嘿, 黑, 黒",3,275,3174086
"两, 俩",2,261,6529376
"次, 刺, 厕",3,305,7138388
大,1,306,7163744
"话, 画, 化, 桦, 嬅",5,305,7139077
可能,1,10,8983
"需要, 须要",2,8,1599
是的,1,4,15811
死,1,261,6540090
"出, 初, 岀, 樗",4,278,3184267
那么,1,2,51710
