,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-log-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-log-C2,C&B-Subtitle-raw-W,C&B-Subtitle-log-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2
0,一,刀,一刀,一刀,1,2,604056,5.78,4999,3.70,,,10,1,278,277
1,一,口,一口,一口,1,3,604056,5.78,21385,4.33,,,10,1,278,261
2,一,分,一分,一分,1,4,604056,5.78,48396,4.68,952,2.98,10,6,278,306
3,一,切,一切,一切,1,4,604056,5.78,28202,4.45,21709,4.34,10,6,278,305
4,一,心,一心,一心,1,4,604056,5.78,83418,4.92,137,2.14,10,9,278,276
5,一,手,一手,一手,1,4,604056,5.78,75608,4.88,107,2.03,10,3,278,261
6,一,斤,一斤,一斤,1,4,604056,5.78,369,2.57,,,10,9,278,277
7,一,半,一半,一半,1,5,604056,5.78,10910,4.04,2633,3.42,10,7,278,305
8,一,旦,一旦,一旦,1,5,604056,5.78,3661,3.56,2922,3.47,10,10,278,305
9,一,生,一生,一生,1,5,604056,5.78,162725,5.21,2437,3.39,10,6,278,278
10,一,共,一共,一共,1,6,604056,5.78,7769,3.89,507,2.71,10,2,278,305
11,一,再,一再,一再,1,6,604056,5.78,78039,4.89,68,1.83,10,3,278,305
12,一,同,一同,一同,1,6,604056,5.78,42995,4.63,276,2.44,10,9,278,220
13,一,向,一向,一向,1,6,604056,5.78,24596,4.39,510,2.71,10,6,278,306
14,一,早,一早,一早,1,6,604056,5.78,26160,4.42,326,2.51,10,5,278,261
15,一,些,一些,一些,1,8,604056,5.78,113122,5.05,17133,4.23,10,3,278,278
16,一,并,一併,一并,1,8,604056,5.78,26283,4.42,27,1.43,10,4,278,305
17,一,来,一來,一来,1,8,604056,5.78,377902,5.58,162,2.21,10,5,278,218
18,一,味,一味,一味,1,8,604056,5.78,11803,4.07,10,1.00,10,13,278,306
19,一,定,一定,一定,1,8,604056,5.78,81657,4.91,20273,4.31,10,5,278,305
20,一,直,一直,一直,1,8,604056,5.78,46163,4.66,24551,4.39,10,12,278,220
21,一,则,一則,一则,1,9,604056,5.78,8312,3.92,8,0.90,10,6,278,217
22,一,度,一度,一度,1,9,604056,5.78,17384,4.24,80,1.90,10,8,278,306
23,一,律,一律,一律,1,9,604056,5.78,12028,4.08,31,1.49,10,5,278,305
24,一,流,一流,一流,1,9,604056,5.78,11946,4.08,346,2.54,10,10,278,220
25,一,致,一致,一致,1,10,604056,5.78,6199,3.79,1087,3.04,10,22,278,306
26,一,面,一面,一面,1,9,604056,5.78,67015,4.83,887,2.95,10,2,278,305
27,一,旁,一旁,一旁,1,10,604056,5.78,3900,3.59,129,2.11,10,3,278,219
28,一,时,一時,一时,1,10,604056,5.78,162611,5.21,583,2.77,10,10,278,220
29,一,般,一般,一般,1,10,604056,5.78,4611,3.66,2586,3.41,10,8,278,277
30,一,起,一起,一起,1,10,604056,5.78,127575,5.11,32889,4.52,10,5,278,262
31,一,阵,一陣,一阵,1,10,604056,5.78,2429,3.39,499,2.70,10,7,278,305
32,一,带,一帶,一带,1,11,604056,5.78,45283,4.66,172,2.24,10,10,278,305
33,一,贯,一貫,一贯,1,11,604056,5.78,486,2.69,163,2.21,10,8,278,305
34,一,块,一塊,一块,1,13,604056,5.78,11381,4.06,233,2.37,10,7,278,303
35,一,会,一會,一会,1,13,604056,5.78,321488,5.51,1013,3.01,10,15,278,306
36,一,概,一概,一概,1,13,604056,5.78,5532,3.74,17,1.23,10,3,278,305
37,一,经,一經,一经,1,13,604056,5.78,80207,4.90,16,1.20,10,14,278,277
38,一,路,一路,一路,1,13,604056,5.78,23462,4.37,1001,3.00,10,13,278,305
39,一,道,一道,一道,1,13,604056,5.78,230531,5.36,64,1.81,10,8,278,305
40,一,齐,一齊,一齐,1,14,604056,5.78,1671,3.22,44,1.64,10,23,278,220
41,一,样,一樣,一样,1,15,604056,5.78,161409,5.21,28861,4.46,10,4,278,306
42,一,点,一點,一点,1,17,604056,5.78,128025,5.11,20342,4.31,10,4,278,261
43,一,边,一邊,一边,1,19,604056,5.78,30972,4.49,2594,3.41,10,5,278,277
44,一,体,一體,一体,1,23,604056,5.78,26590,4.42,126,2.10,10,1,278,262
45,丁,级,丁級,丁级,2,10,3640,3.56,9893,4.00,,,4,19,277,220
46,七,夕,七夕,七夕,2,3,4094,3.61,474,2.68,,,10,6,278,306
47,七,彩,七彩,七彩,2,11,4094,3.61,5381,3.73,4,0.60,10,4,278,262
48,乃,至,乃至,乃至,2,6,566,2.75,18394,4.26,21,1.32,4,22,260,306
49,了,却,了卻,了却,2,9,993990,6.00,13707,4.14,9,0.95,3,5,261,305
50,了,得,了得,了得,2,11,993990,6.00,208054,5.32,14,1.15,3,1,261,259
51,了,结,了結,了结,2,12,993990,6.00,32979,4.52,475,2.68,3,13,261,220
52,了,解,了解,了解,2,13,993990,6.00,36622,4.56,10127,4.01,3,4,261,262
53,了,断,了斷,了断,2,18,993990,6.00,9088,3.96,126,2.10,3,5,261,305
54,二,手,二手,二手,2,4,16814,4.23,75608,4.88,89,1.95,2,3,305,261
55,二,叔,二叔,二叔,2,8,16814,4.23,5419,3.73,,,2,5,305,220
56,二,姑,二姑,二姑,2,8,16814,4.23,5640,3.75,,,2,11,305,277
57,二,胡,二胡,二胡,2,9,16814,4.23,5787,3.76,,,2,10,305,220
58,二,等,二等,二等,2,12,16814,4.23,71184,4.85,63,1.80,2,1,305,261
59,二,楼,二樓,二楼,2,15,16814,4.23,9176,3.96,,,2,3,305,219
60,人,力,人力,人力,2,2,373292,5.57,44859,4.65,168,2.23,5,23,219,306
61,人,口,人口,人口,2,3,373292,5.57,21385,4.33,555,2.74,5,1,219,261
62,人,士,人士,人士,2,3,373292,5.57,31972,4.50,592,2.77,5,29,219,306
63,人,工,人工,人工,2,3,373292,5.57,44548,4.65,204,2.31,5,12,219,277
64,人,才,人才,人才,2,3,373292,5.57,46044,4.66,443,2.65,5,4,219,220
65,人,手,人手,人手,2,4,373292,5.57,75608,4.88,162,2.21,5,3,219,261
66,人,文,人文,人文,2,4,373292,5.57,14196,4.15,12,1.08,5,6,219,220
67,人,世,人世,人世,2,5,373292,5.57,21566,4.33,125,2.10,5,29,219,306
68,人,奶,人奶,人奶,2,5,373292,5.57,8037,3.91,,,5,4,219,260
69,人,民,人民,人民,2,5,373292,5.57,9468,3.98,1661,3.22,5,4,219,218
70,人,生,人生,人生,2,5,373292,5.57,162725,5.21,2852,3.46,5,6,219,278
71,人,名,人名,人名,2,6,373292,5.57,43229,4.64,28,1.45,5,7,219,219
72,人,次,人次,人次,2,6,373292,5.57,58108,4.76,3,0.48,5,3,219,305
73,人,身,人身,人身,2,7,373292,5.57,38760,4.59,189,2.28,5,10,219,278
74,人,事,人事,人事,2,8,373292,5.57,179716,5.25,112,2.05,5,29,219,306
75,人,命,人命,人命,2,8,373292,5.57,25014,4.40,178,2.25,5,1,219,305
76,人,性,人性,人性,2,8,373292,5.57,28102,4.45,373,2.57,5,5,219,306
77,人,物,人物,人物,2,8,373292,5.57,30079,4.48,2014,3.30,5,13,219,306
78,人,品,人品,人品,2,9,373292,5.57,14318,4.16,64,1.81,5,1,219,262
79,人,流,人流,人流,2,9,373292,5.57,11946,4.08,32,1.51,5,10,219,220
80,人,为,人為,人为,2,9,373292,5.57,249231,5.40,80,1.90,5,13,219,220
81,人,们,人們,人们,2,10,373292,5.57,701754,5.85,7990,3.90,5,1,219,10
82,人,员,人員,人员,2,10,373292,5.57,29907,4.48,2781,3.44,5,15,219,220
83,人,家,人家,人家,2,10,373292,5.57,112387,5.05,1027,3.01,5,13,219,278
84,人,格,人格,人格,2,10,373292,5.57,19477,4.29,362,2.56,5,9,219,220
85,人,马,人馬,人马,2,10,373292,5.57,34892,4.54,129,2.11,5,4,219,262
