,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-raw-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2
50,了,得,了得,了得,2.0,11.0,993990.0,208054.0,14.0,3.0,1.0,261.0,259.0
236,上,诉,上訴,上诉,3.0,12.0,236451.0,65753.0,310.0,4.0,9.0,305.0,305.0
395,土,法,土法,土法,3.0,8.0,4871.0,60750.0,2.0,4.0,2.0,262.0,261.0
420,大,方,大方,大方,3.0,4.0,135159.0,52743.0,150.0,1.0,4.0,306.0,278.0
500,女,友,女友,女友,3.0,4.0,76693.0,40149.0,1200.0,2.0,6.0,259.0,262.0
506,女,性,女性,女性,3.0,8.0,76693.0,28102.0,2080.0,2.0,5.0,259.0,306.0
590,山,区,山區,山区,3.0,11.0,8779.0,11770.0,59.0,12.0,10.0,277.0,277.0
620,工,时,工時,工时,3.0,10.0,44548.0,162611.0,10.0,12.0,10.0,277.0,220.0
624,工,会,工會,工会,3.0,13.0,44548.0,321488.0,194.0,12.0,15.0,277.0,306.0
630,工,整,工整,工整,3.0,16.0,44548.0,18021.0,9.0,12.0,2.0,277.0,261.0
644,才,子,才子,才子,3.0,3.0,46044.0,177693.0,12.0,4.0,6.0,220.0,261.0
657,不,及,不及,不及,4.0,4.0,904675.0,9979.0,30.0,12.0,19.0,304.0,220.0
662,不,平,不平,不平,4.0,5.0,904675.0,14739.0,16.0,12.0,11.0,304.0,217.0
694,不,是,不是,不是,4.0,9.0,904675.0,1172098.0,376.0,12.0,29.0,304.0,306.0
710,不,单,不單,不单,4.0,12.0,904675.0,18894.0,82.0,12.0,11.0,304.0,305.0
776,中,学,中學,中学,4.0,16.0,69745.0,41964.0,387.0,6.0,1.0,277.0,220.0
792,之,前,之前,之前,4.0,9.0,64755.0,75236.0,15187.0,11.0,8.0,278.0,220.0
799,互,助,互助,互助,4.0,7.0,3335.0,16435.0,63.0,8.0,10.0,306.0,306.0
828,仇,人,仇人,仇人,4.0,2.0,2085.0,373292.0,73.0,6.0,5.0,220.0,219.0
837,今,日,今日,今日,4.0,4.0,44976.0,23151.0,330.0,9.0,1.0,277.0,303.0
839,今,生,今生,今生,4.0,5.0,44976.0,162725.0,69.0,9.0,6.0,277.0,278.0
843,今,后,今後,今后,4.0,9.0,44976.0,109915.0,316.0,9.0,4.0,277.0,305.0
851,介,怀,介懷,介怀,4.0,19.0,7696.0,8726.0,4.0,8.0,4.0,306.0,218.0
852,仍,然,仍然,仍然,4.0,12.0,5117.0,91514.0,2922.0,1.0,3.0,218.0,218.0
865,元,宝,元寶,元宝,4.0,20.0,8765.0,18858.0,,15.0,5.0,220.0,261.0
876,内,行,內行,内行,4.0,6.0,19071.0,73109.0,31.0,1.0,5.0,303.0,220.0
961,公,德,公德,公德,4.0,15.0,39292.0,27149.0,3.0,12.0,3.0,277.0,218.0
972,公,关,公關,公关,4.0,19.0,39292.0,55693.0,203.0,12.0,7.0,277.0,277.0
975,冗,词,冗詞,冗词,4.0,12.0,66.0,7178.0,,1.0,9.0,261.0,219.0
989,分,化,分化,分化,4.0,4.0,48396.0,11248.0,32.0,6.0,5.0,306.0,305.0
994,分,外,分外,分外,4.0,5.0,48396.0,31747.0,8.0,6.0,1.0,306.0,304.0
1038,分,队,分隊,分队,4.0,12.0,48396.0,27111.0,125.0,6.0,5.0,306.0,304.0
1048,分,头,分頭,分头,4.0,16.0,48396.0,49069.0,153.0,6.0,2.0,306.0,219.0
1051,分,钟,分鐘,分钟,4.0,20.0,48396.0,14858.0,11029.0,6.0,6.0,306.0,277.0
1057,切,片,切片,切片,4.0,4.0,28202.0,21431.0,75.0,6.0,3.0,305.0,304.0
1069,切,掉,切掉,切掉,4.0,11.0,28202.0,23820.0,,6.0,5.0,305.0,305.0
1082,勾,出,勾出,勾出,4.0,5.0,1240.0,129404.0,,3.0,4.0,277.0,278.0
1089,勾,当,勾當,勾当,4.0,13.0,1240.0,80228.0,157.0,3.0,3.0,277.0,277.0
1101,化,学,化學,化学,4.0,16.0,11248.0,41964.0,610.0,5.0,1.0,305.0,220.0
1103,匹,夫,匹夫,匹夫,4.0,4.0,2240.0,23767.0,4.0,4.0,8.0,262.0,278.0
1107,升,任,升任,升任,4.0,6.0,4362.0,34349.0,3.0,6.0,6.0,278.0,305.0
1124,午,夜,午夜,午夜,4.0,8.0,8167.0,9438.0,730.0,8.0,9.0,262.0,306.0
1130,午,睡,午睡,午睡,4.0,14.0,8167.0,14599.0,25.0,8.0,3.0,262.0,304.0
1143,友,爱,友愛,友爱,4.0,13.0,40149.0,65256.0,46.0,6.0,7.0,262.0,306.0
1150,反,目,反目,反目,4.0,5.0,15920.0,22482.0,7.0,2.0,12.0,262.0,304.0
1182,反,应,反應,反应,4.0,17.0,15920.0,52206.0,2612.0,2.0,8.0,262.0,278.0
1191,天,下,天下,天下,4.0,3.0,127053.0,153565.0,318.0,2.0,4.0,277.0,305.0
1194,天,分,天分,天分,4.0,4.0,127053.0,48396.0,233.0,2.0,6.0,277.0,306.0
1203,天,使,天使,天使,4.0,8.0,127053.0,16913.0,1733.0,2.0,7.0,277.0,262.0
1214,天,神,天神,天神,4.0,10.0,127053.0,22077.0,46.0,2.0,2.0,277.0,220.0
1236,太,公,太公,太公,4.0,4.0,80890.0,39292.0,2.0,7.0,12.0,305.0,277.0
1239,太,平,太平,太平,4.0,5.0,80890.0,14739.0,85.0,7.0,11.0,305.0,217.0
1244,太,长,太長,太长,4.0,8.0,80890.0,42596.0,,7.0,2.0,305.0,261.0
1255,夫,人,夫人,夫人,4.0,2.0,23767.0,373292.0,5082.0,8.0,5.0,278.0,219.0
1258,夫,家,夫家,夫家,4.0,10.0,23767.0,112387.0,,8.0,13.0,278.0,278.0
1259,夫,妇,夫婦,夫妇,4.0,11.0,23767.0,3850.0,889.0,8.0,16.0,278.0,306.0
1269,少,见,少見,少见,4.0,7.0,28266.0,85723.0,159.0,1.0,19.0,262.0,305.0
1289,尺,码,尺碼,尺码,4.0,15.0,2651.0,8906.0,103.0,5.0,4.0,262.0,262.0
1307,引,力,引力,引力,4.0,2.0,9297.0,44859.0,125.0,5.0,23.0,262.0,306.0
1310,引,出,引出,引出,4.0,5.0,9297.0,129404.0,97.0,5.0,4.0,262.0,278.0
1320,引,起,引起,引起,4.0,10.0,9297.0,127575.0,1652.0,5.0,5.0,262.0,262.0
1324,引,发,引發,引发,4.0,12.0,9297.0,87630.0,453.0,5.0,3.0,262.0,277.0
1325,引,进,引進,引进,4.0,12.0,9297.0,55676.0,67.0,5.0,10.0,262.0,305.0
1340,心,底,心底,心底,4.0,8.0,83418.0,20210.0,214.0,9.0,4.0,276.0,262.0
1360,心,意,心意,心意,4.0,13.0,83418.0,103354.0,265.0,9.0,37.0,276.0,306.0
1369,心,跳,心跳,心跳,4.0,13.0,83418.0,14132.0,626.0,9.0,2.0,276.0,305.0
1385,户,口,戶口,户口,4.0,3.0,5836.0,21385.0,33.0,8.0,1.0,306.0,261.0
1409,手,提,手提,手提,4.0,12.0,75608.0,24028.0,50.0,3.0,11.0,261.0,220.0
1418,手,写,手寫,手写,4.0,15.0,75608.0,16083.0,,3.0,2.0,261.0,262.0
1439,支,流,支流,支流,4.0,9.0,11697.0,11946.0,13.0,11.0,10.0,278.0,220.0
1455,文,具,文具,文具,4.0,8.0,14196.0,8138.0,17.0,6.0,15.0,220.0,306.0
1456,文,官,文官,文官,4.0,8.0,14196.0,21405.0,6.0,6.0,7.0,220.0,277.0
1457,文,明,文明,文明,4.0,8.0,14196.0,69749.0,418.0,6.0,7.0,220.0,219.0
1465,文,弱,文弱,文弱,4.0,10.0,14196.0,3499.0,1.0,6.0,5.0,220.0,303.0
1470,文,词,文詞,文词,4.0,12.0,14196.0,7178.0,,6.0,9.0,220.0,219.0
1480,文,职,文職,文职,4.0,18.0,14196.0,8028.0,36.0,6.0,12.0,220.0,220.0
1493,方,式,方式,方式,4.0,6.0,52743.0,12142.0,4711.0,4.0,29.0,278.0,306.0
1514,日,前,日前,日前,4.0,9.0,23151.0,75236.0,29.0,1.0,8.0,303.0,220.0
1530,日,语,日語,日语,4.0,14.0,23151.0,10813.0,133.0,1.0,9.0,303.0,260.0
1531,日,历,日曆,日历,4.0,16.0,23151.0,8856.0,169.0,1.0,23.0,303.0,306.0
1540,月,色,月色,月色,4.0,6.0,16675.0,21624.0,19.0,9.0,6.0,304.0,303.0
1543,月,底,月底,月底,4.0,8.0,16675.0,20210.0,66.0,9.0,4.0,304.0,262.0
1563,木,板,木板,木板,4.0,8.0,4924.0,8354.0,148.0,12.0,5.0,304.0,261.0
1602,欠,款,欠款,欠款,4.0,12.0,2962.0,3486.0,47.0,6.0,1.0,306.0,260.0
1613,止,痛,止痛,止痛,4.0,12.0,14732.0,8963.0,45.0,11.0,2.0,262.0,306.0
1615,歹,徒,歹徒,歹徒,4.0,10.0,286.0,3604.0,144.0,2.0,8.0,261.0,220.0
1629,比,对,比對,比对,4.0,14.0,51838.0,191793.0,,5.0,5.0,262.0,304.0
1632,比,邻,比鄰,比邻,4.0,15.0,51838.0,2127.0,4.0,5.0,9.0,262.0,217.0
1650,毛,虫,毛蟲,毛虫,4.0,18.0,6487.0,3228.0,22.0,5.0,3.0,219.0,262.0
1659,水,平,水平,水平,4.0,5.0,21793.0,14739.0,913.0,1.0,11.0,260.0,217.0
1665,水,灾,水災,水灾,4.0,7.0,21793.0,1870.0,13.0,1.0,4.0,260.0,277.0
1669,水,泡,水泡,水泡,4.0,8.0,21793.0,2747.0,41.0,1.0,3.0,260.0,306.0
1682,水,彩,水彩,水彩,4.0,11.0,21793.0,5381.0,,1.0,4.0,260.0,262.0
1683,水,患,水患,水患,4.0,11.0,21793.0,1540.0,1.0,1.0,6.0,260.0,306.0
1685,水,深,水深,水深,4.0,11.0,21793.0,8271.0,22.0,1.0,10.0,260.0,278.0
1701,水,温,水溫,水温,4.0,13.0,21793.0,4828.0,25.0,1.0,2.0,260.0,278.0
1707,水,管,水管,水管,4.0,14.0,21793.0,29106.0,308.0,1.0,2.0,260.0,261.0
1739,火,海,火海,火海,4.0,10.0,18479.0,16404.0,57.0,3.0,2.0,261.0,262.0
1750,火,腿,火腿,火腿,4.0,14.0,18479.0,4983.0,264.0,3.0,1.0,261.0,261.0
1761,火,警,火警,火警,4.0,20.0,18479.0,32561.0,111.0,3.0,9.0,261.0,261.0
1768,父,辈,父輩,父辈,4.0,15.0,22065.0,3145.0,31.0,16.0,10.0,306.0,305.0
1769,父,亲,父親,父亲,4.0,16.0,22065.0,42501.0,12399.0,16.0,3.0,306.0,276.0
1771,片,刻,片刻,片刻,4.0,8.0,21431.0,9844.0,241.0,3.0,6.0,304.0,306.0
1786,牙,医,牙醫,牙医,4.0,18.0,6365.0,26637.0,418.0,5.0,10.0,221.0,278.0
1792,牛,皮,牛皮,牛皮,4.0,5.0,7043.0,9160.0,38.0,1.0,8.0,219.0,220.0
1801,牛,排,牛排,牛排,4.0,11.0,7043.0,10684.0,511.0,1.0,3.0,219.0,219.0
1803,牛,群,牛群,牛群,4.0,13.0,7043.0,4880.0,49.0,1.0,2.0,219.0,217.0
1807,牛,脷,牛脷,牛脷,4.0,11.0,7043.0,,,1.0,,219.0,
1808,犬,齿,犬齒,犬齿,4.0,15.0,1055.0,1572.0,18.0,1.0,5.0,262.0,262.0
1810,王,后,王后,王后,4.0,6.0,9733.0,109915.0,226.0,2.0,4.0,219.0,305.0
1819,王,国,王國,王国,4.0,11.0,9733.0,40712.0,336.0,2.0,4.0,219.0,220.0
1825,王,权,王權,王权,4.0,22.0,9733.0,10283.0,17.0,2.0,9.0,219.0,220.0
1839,世,家,世家,世家,5.0,10.0,21566.0,112387.0,49.0,29.0,13.0,306.0,278.0
1856,主,角,主角,主角,5.0,7.0,28628.0,8735.0,791.0,7.0,11.0,262.0,261.0
1863,主,流,主流,主流,5.0,9.0,28628.0,11946.0,73.0,7.0,10.0,262.0,220.0
1865,主,食,主食,主食,5.0,9.0,28628.0,7168.0,6.0,7.0,10.0,262.0,220.0
1868,主,席,主席,主席,5.0,10.0,28628.0,3105.0,647.0,7.0,9.0,262.0,220.0
1881,主,意,主意,主意,5.0,13.0,28628.0,103354.0,6144.0,7.0,37.0,262.0,306.0
1882,主,义,主義,主义,5.0,13.0,28628.0,9488.0,749.0,7.0,37.0,262.0,306.0
1891,主,战,主戰,主战,5.0,16.0,28628.0,18511.0,,7.0,9.0,262.0,305.0
1895,主,讲,主講,主讲,5.0,17.0,28628.0,11383.0,8.0,7.0,4.0,262.0,261.0
1896,主,题,主題,主题,5.0,18.0,28628.0,37524.0,941.0,7.0,11.0,262.0,220.0
1897,主,顾,主顧,主顾,5.0,21.0,28628.0,8298.0,34.0,7.0,4.0,262.0,305.0
1902,乏,味,乏味,乏味,5.0,8.0,888.0,11803.0,212.0,5.0,13.0,219.0,306.0
1909,他,杀,他殺,他杀,5.0,11.0,564477.0,47122.0,,7.0,8.0,277.0,278.0
1924,仙,人,仙人,仙人,5.0,2.0,1174.0,373292.0,31.0,6.0,5.0,278.0,219.0
1931,仙,境,仙境,仙境,5.0,14.0,1174.0,4514.0,79.0,6.0,12.0,278.0,305.0
1932,代,用,代用,代用,5.0,5.0,15142.0,79299.0,4.0,10.0,2.0,305.0,304.0
1935,代,表,代表,代表,5.0,8.0,15142.0,31395.0,3586.0,10.0,4.0,305.0,260.0
1939,代,劳,代勞,代劳,5.0,12.0,15142.0,4575.0,22.0,10.0,5.0,305.0,220.0
1940,代,替,代替,代替,5.0,12.0,15142.0,5759.0,592.0,10.0,11.0,305.0,306.0
1941,代,笔,代筆,代笔,5.0,12.0,15142.0,5687.0,6.0,10.0,5.0,305.0,262.0
1951,代,办,代辦,代办,5.0,16.0,15142.0,28706.0,4.0,10.0,7.0,305.0,305.0
1954,以,内,以內,以内,5.0,4.0,184508.0,19071.0,161.0,8.0,1.0,262.0,303.0
1956,以,外,以外,以外,5.0,5.0,184508.0,31747.0,795.0,8.0,1.0,262.0,304.0
1958,以,至,以至,以至,5.0,6.0,184508.0,18394.0,32.0,8.0,22.0,262.0,306.0
1959,以,免,以免,以免,5.0,7.0,184508.0,6707.0,214.0,8.0,5.0,262.0,261.0
1963,以,前,以前,以前,5.0,9.0,184508.0,75236.0,12391.0,8.0,8.0,262.0,220.0
1969,兄,长,兄長,兄长,5.0,8.0,14373.0,42596.0,64.0,4.0,2.0,276.0,261.0
1971,充,公,充公,充公,5.0,4.0,4670.0,39292.0,24.0,3.0,12.0,277.0,277.0
1981,充,塞,充塞,充塞,5.0,13.0,4670.0,5309.0,3.0,3.0,6.0,277.0,303.0
1983,充,当,充當,充当,5.0,13.0,4670.0,80228.0,91.0,3.0,3.0,277.0,277.0
1986,充,实,充實,充实,5.0,14.0,4670.0,57010.0,129.0,3.0,10.0,277.0,220.0
1987,充,满,充滿,充满,5.0,14.0,4670.0,11463.0,2248.0,3.0,2.0,277.0,261.0
1992,册,封,冊封,册封,5.0,9.0,1372.0,5258.0,19.0,5.0,9.0,303.0,277.0
1998,冬,季,冬季,冬季,5.0,8.0,1099.0,6585.0,122.0,5.0,24.0,277.0,306.0
2005,凸,起,凸起,凸起,5.0,10.0,109.0,127575.0,12.0,8.0,5.0,220.0,262.0
2006,凹,下,凹下,凹下,5.0,3.0,150.0,153565.0,,2.0,4.0,277.0,305.0
2011,凹,进,凹進,凹进,5.0,12.0,150.0,55676.0,,2.0,10.0,277.0,305.0
2013,出,入,出入,出入,5.0,2.0,129404.0,24269.0,225.0,4.0,4.0,278.0,305.0
2019,出,水,出水,出水,5.0,4.0,129404.0,21793.0,,4.0,1.0,278.0,260.0
2021,出,去,出去,出去,5.0,5.0,129404.0,232346.0,11524.0,4.0,3.0,278.0,305.0
2028,出,色,出色,出色,5.0,6.0,129404.0,21624.0,2799.0,4.0,6.0,278.0,303.0
2032,出,巡,出巡,出巡,5.0,7.0,129404.0,1886.0,4.0,4.0,8.0,278.0,219.0
2034,出,走,出走,出走,5.0,7.0,129404.0,82765.0,323.0,4.0,1.0,278.0,260.0
2037,出,来,出來,出来,5.0,8.0,129404.0,377902.0,20938.0,4.0,5.0,278.0,218.0
2038,出,奇,出奇,出奇,5.0,8.0,129404.0,17952.0,93.0,4.0,23.0,278.0,220.0
2043,出,门,出門,出门,5.0,8.0,129404.0,25908.0,650.0,4.0,2.0,278.0,219.0
2044,出,品,出品,出品,5.0,9.0,129404.0,14318.0,,4.0,1.0,278.0,262.0
2046,出,轨,出軌,出轨,5.0,9.0,129404.0,1191.0,174.0,4.0,4.0,278.0,261.0
2056,出,航,出航,出航,5.0,10.0,129404.0,3991.0,27.0,4.0,3.0,278.0,217.0
2069,出,场,出場,出场,5.0,12.0,129404.0,34746.0,533.0,4.0,3.0,278.0,262.0
2071,出,诊,出診,出诊,5.0,12.0,129404.0,2337.0,30.0,4.0,4.0,278.0,261.0
2074,出,资,出資,出资,5.0,13.0,129404.0,7880.0,27.0,4.0,13.0,278.0,277.0
2075,出,路,出路,出路,5.0,13.0,129404.0,23462.0,305.0,4.0,13.0,278.0,305.0
2089,出,丑,出醜,出丑,5.0,17.0,129404.0,2948.0,134.0,4.0,2.0,278.0,262.0
2104,功,利,功利,功利,5.0,7.0,9452.0,32917.0,11.0,12.0,23.0,277.0,306.0
2105,功,架,功架,功架,5.0,9.0,9452.0,8023.0,,12.0,5.0,277.0,306.0
2106,功,效,功效,功效,5.0,10.0,9452.0,5768.0,43.0,12.0,8.0,277.0,305.0
2117,加,上,加上,加上,5.0,3.0,38160.0,236451.0,1328.0,13.0,4.0,278.0,305.0
2118,加,大,加大,加大,5.0,3.0,38160.0,135159.0,167.0,13.0,1.0,278.0,306.0
2128,加,长,加長,加长,5.0,8.0,38160.0,42596.0,71.0,13.0,2.0,278.0,261.0
2130,加,重,加重,加重,5.0,9.0,38160.0,39372.0,83.0,13.0,2.0,278.0,219.0
2131,加,倍,加倍,加倍,5.0,10.0,38160.0,1900.0,248.0,13.0,10.0,278.0,305.0
2144,加,盟,加盟,加盟,5.0,13.0,38160.0,1847.0,27.0,13.0,5.0,278.0,219.0
2145,加,满,加滿,加满,5.0,14.0,38160.0,11463.0,,13.0,2.0,278.0,261.0
2146,加,紧,加緊,加紧,5.0,14.0,38160.0,14372.0,42.0,13.0,6.0,278.0,261.0
2147,加,盖,加蓋,加盖,5.0,14.0,38160.0,4414.0,,13.0,3.0,278.0,305.0
2150,加,数,加數,加数,5.0,15.0,38160.0,14754.0,,13.0,9.0,278.0,262.0
2152,加,码,加碼,加码,5.0,15.0,38160.0,8906.0,3.0,13.0,4.0,278.0,262.0
2172,包,裹,包裹,包裹,5.0,14.0,13742.0,869.0,601.0,5.0,3.0,277.0,262.0
2187,北,部,北部,北部,5.0,11.0,3768.0,34796.0,278.0,1.0,12.0,261.0,304.0
2192,半,山,半山,半山,5.0,3.0,10910.0,8779.0,,7.0,12.0,305.0,277.0
2201,半,径,半徑,半径,5.0,10.0,10910.0,1475.0,97.0,7.0,12.0,305.0,305.0
2206,半,路,半路,半路,5.0,13.0,10910.0,23462.0,85.0,7.0,13.0,305.0,305.0
2209,半,价,半價,半价,5.0,15.0,10910.0,8767.0,49.0,7.0,5.0,305.0,306.0
2210,半,数,半數,半数,5.0,15.0,10910.0,14754.0,102.0,7.0,9.0,305.0,262.0
2212,半,边,半邊,半边,5.0,19.0,10910.0,30972.0,49.0,7.0,5.0,305.0,277.0
2221,去,世,去世,去世,5.0,5.0,232346.0,21566.0,1567.0,3.0,29.0,305.0,306.0
2232,去,路,去路,去路,5.0,13.0,232346.0,23462.0,14.0,3.0,13.0,305.0,305.0
2235,古,人,古人,古人,5.0,2.0,6114.0,373292.0,120.0,7.0,5.0,261.0,219.0
2239,古,典,古典,古典,5.0,8.0,6114.0,3276.0,159.0,7.0,4.0,261.0,261.0
2242,古,法,古法,古法,5.0,8.0,6114.0,60750.0,1.0,7.0,2.0,261.0,261.0
2245,古,城,古城,古城,5.0,9.0,6114.0,10406.0,18.0,7.0,11.0,261.0,220.0
2246,古,时,古時,古时,5.0,10.0,6114.0,162611.0,9.0,7.0,10.0,261.0,220.0
2251,古,堡,古堡,古堡,5.0,12.0,6114.0,2722.0,11.0,7.0,5.0,261.0,261.0
2255,古,装,古裝,古装,5.0,13.0,6114.0,17633.0,3.0,7.0,4.0,261.0,276.0
2258,古,墓,古墓,古墓,5.0,14.0,6114.0,1449.0,30.0,7.0,12.0,261.0,304.0
2266,句,子,句子,句子,5.0,3.0,6640.0,177693.0,119.0,15.0,6.0,306.0,261.0
2268,句,法,句法,句法,5.0,8.0,6640.0,60750.0,5.0,15.0,2.0,306.0,261.0
2276,叩,门,叩門,叩门,5.0,8.0,26.0,25908.0,1.0,6.0,2.0,305.0,219.0
2279,叩,问,叩問,叩问,5.0,11.0,26.0,64375.0,,6.0,3.0,305.0,306.0
2282,只,好,只好,只好,5.0,6.0,117406.0,412760.0,596.0,11.0,8.0,262.0,304.0
2286,只,怕,只怕,只怕,5.0,8.0,117406.0,17550.0,28.0,11.0,2.0,262.0,305.0
2291,只,许,只許,只许,5.0,11.0,117406.0,44190.0,,11.0,1.0,262.0,261.0
2292,只,会,只會,只会,5.0,13.0,117406.0,321488.0,,11.0,15.0,262.0,306.0
2297,叫,座,叫座,叫座,5.0,10.0,41269.0,5753.0,6.0,7.0,5.0,305.0,304.0
2300,叫,喊,叫喊,叫喊,5.0,12.0,41269.0,2156.0,96.0,7.0,2.0,305.0,261.0
2301,叫,唤,叫喚,叫唤,5.0,12.0,41269.0,1371.0,40.0,7.0,6.0,305.0,306.0
2306,叫,嚷,叫嚷,叫嚷,5.0,20.0,41269.0,647.0,39.0,7.0,2.0,305.0,260.0
2309,召,见,召見,召见,5.0,7.0,1546.0,85723.0,23.0,7.0,19.0,305.0,305.0
2312,召,集,召集,召集,5.0,12.0,1546.0,11403.0,312.0,7.0,19.0,305.0,220.0
2313,叮,咛,叮嚀,叮咛,5.0,17.0,490.0,3.0,3.0,4.0,,277.0,
2316,可,可,可可,可可,5.0,5.0,212670.0,212670.0,139.0,2.0,2.0,262.0,262.0
2317,可,行,可行,可行,5.0,6.0,212670.0,73109.0,205.0,2.0,5.0,262.0,220.0
2318,可,否,可否,可否,5.0,7.0,212670.0,13209.0,158.0,2.0,2.0,262.0,259.0
2320,可,取,可取,可取,5.0,8.0,212670.0,12409.0,23.0,2.0,3.0,262.0,261.0
2323,可,恨,可恨,可恨,5.0,9.0,212670.0,4848.0,46.0,2.0,1.0,262.0,305.0
2324,可,是,可是,可是,5.0,9.0,212670.0,1172098.0,11739.0,2.0,29.0,262.0,306.0
2333,可,爱,可愛,可爱,5.0,13.0,212670.0,65256.0,5498.0,2.0,7.0,262.0,306.0
2339,可,谓,可謂,可谓,5.0,16.0,212670.0,2864.0,46.0,2.0,13.0,262.0,306.0
2346,台,币,台幣,台币,5.0,14.0,13404.0,1239.0,,4.0,25.0,219.0,306.0
