,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-raw-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2
0,一,刀,一刀,一刀,1.0,2.0,604056.0,4999.0,,10,0.0,0.0,0.0
1,一,口,一口,一口,1.0,3.0,604056.0,21385.0,,10,0.0,0.0,0.0
2,一,分,一分,一分,1.0,4.0,604056.0,48396.0,952.0,10,0.0,0.0,0.0
3,一,切,一切,一切,1.0,4.0,604056.0,28202.0,21709.0,10,0.0,0.0,0.0
4,一,心,一心,一心,1.0,4.0,604056.0,83418.0,137.0,10,0.0,0.0,0.0
5,一,手,一手,一手,1.0,4.0,604056.0,75608.0,107.0,10,0.0,0.0,0.0
6,一,斤,一斤,一斤,1.0,4.0,604056.0,369.0,,10,0.0,0.0,0.0
7,一,半,一半,一半,1.0,5.0,604056.0,10910.0,2633.0,10,0.0,0.0,0.0
8,一,旦,一旦,一旦,1.0,5.0,604056.0,3661.0,2922.0,10,0.0,0.0,0.0
9,一,生,一生,一生,1.0,5.0,604056.0,162725.0,2437.0,10,0.0,0.0,0.0
10,一,共,一共,一共,1.0,6.0,604056.0,7769.0,507.0,10,0.0,0.0,0.0
11,一,再,一再,一再,1.0,6.0,604056.0,78039.0,68.0,10,0.0,0.0,0.0
12,一,同,一同,一同,1.0,6.0,604056.0,42995.0,276.0,10,0.0,0.0,0.0
13,一,向,一向,一向,1.0,6.0,604056.0,24596.0,510.0,10,0.0,0.0,0.0
14,一,早,一早,一早,1.0,6.0,604056.0,26160.0,326.0,10,0.0,0.0,0.0
15,一,些,一些,一些,1.0,8.0,604056.0,113122.0,17133.0,10,0.0,0.0,0.0
16,一,并,一併,一并,1.0,8.0,604056.0,26283.0,27.0,10,0.0,0.0,0.0
17,一,来,一來,一来,1.0,8.0,604056.0,377902.0,162.0,10,0.0,0.0,0.0
18,一,味,一味,一味,1.0,8.0,604056.0,11803.0,10.0,10,0.0,0.0,0.0
19,一,定,一定,一定,1.0,8.0,604056.0,81657.0,20273.0,10,0.0,0.0,0.0
20,一,直,一直,一直,1.0,8.0,604056.0,46163.0,24551.0,10,0.0,0.0,0.0
21,一,则,一則,一则,1.0,9.0,604056.0,8312.0,8.0,10,0.0,0.0,0.0
22,一,度,一度,一度,1.0,9.0,604056.0,17384.0,80.0,10,0.0,0.0,0.0
23,一,律,一律,一律,1.0,9.0,604056.0,12028.0,31.0,10,0.0,0.0,0.0
24,一,流,一流,一流,1.0,9.0,604056.0,11946.0,346.0,10,0.0,0.0,0.0
25,一,致,一致,一致,1.0,10.0,604056.0,6199.0,1087.0,10,0.0,0.0,0.0
26,一,面,一面,一面,1.0,9.0,604056.0,67015.0,887.0,10,0.0,0.0,0.0
27,一,旁,一旁,一旁,1.0,10.0,604056.0,3900.0,129.0,10,0.0,0.0,0.0
28,一,时,一時,一时,1.0,10.0,604056.0,162611.0,583.0,10,0.0,0.0,0.0
29,一,般,一般,一般,1.0,10.0,604056.0,4611.0,2586.0,10,0.0,0.0,0.0
30,一,起,一起,一起,1.0,10.0,604056.0,127575.0,32889.0,10,0.0,0.0,0.0
31,一,阵,一陣,一阵,1.0,10.0,604056.0,2429.0,499.0,10,0.0,0.0,0.0
32,一,带,一帶,一带,1.0,11.0,604056.0,45283.0,172.0,10,0.0,0.0,0.0
33,一,贯,一貫,一贯,1.0,11.0,604056.0,486.0,163.0,10,0.0,0.0,0.0
34,一,块,一塊,一块,1.0,13.0,604056.0,11381.0,233.0,10,0.0,0.0,0.0
35,一,会,一會,一会,1.0,13.0,604056.0,321488.0,1013.0,10,0.0,0.0,0.0
36,一,概,一概,一概,1.0,13.0,604056.0,5532.0,17.0,10,0.0,0.0,0.0
37,一,经,一經,一经,1.0,13.0,604056.0,80207.0,16.0,10,0.0,0.0,0.0
38,一,路,一路,一路,1.0,13.0,604056.0,23462.0,1001.0,10,0.0,0.0,0.0
39,一,道,一道,一道,1.0,13.0,604056.0,230531.0,64.0,10.0,0.0,0.0,0.0
40,一,齐,一齊,一齐,1.0,14.0,604056.0,1671.0,44.0,10,0.0,0.0,0.0
41,一,样,一樣,一样,1.0,15.0,604056.0,161409.0,28861.0,10,0.0,0.0,0.0
42,一,点,一點,一点,1.0,17.0,604056.0,128025.0,20342.0,10,0.0,0.0,0.0
43,一,边,一邊,一边,1.0,19.0,604056.0,30972.0,2594.0,10,0.0,0.0,0.0
44,一,体,一體,一体,1.0,23.0,604056.0,26590.0,126.0,10,0.0,0.0,0.0
45,丁,级,丁級,丁级,2.0,10.0,3640.0,9893.0,,4,0.0,0.0,0.0
46,七,夕,七夕,七夕,2.0,3.0,4094.0,474.0,,10,0.0,0.0,0.0
47,七,彩,七彩,七彩,2.0,11.0,4094.0,5381.0,4.0,10,0.0,0.0,0.0
48,乃,至,乃至,乃至,2.0,6.0,566.0,18394.0,21.0,4,0.0,0.0,0.0
49,了,却,了卻,了却,2.0,9.0,993990.0,13707.0,9.0,3,0.0,0.0,0.0
50,了,得,了得,了得,2.0,11.0,993990.0,208054.0,14.0,3,0.0,0.0,0.0
51,了,结,了結,了结,2.0,12.0,993990.0,32979.0,475.0,3,0.0,0.0,0.0
52,了,解,了解,了解,2.0,13.0,993990.0,36622.0,10127.0,3,0.0,0.0,0.0
53,了,断,了斷,了断,2.0,18.0,993990.0,9088.0,126.0,3,0.0,0.0,0.0
54,二,手,二手,二手,2.0,4.0,16814.0,75608.0,89.0,2,0.0,0.0,0.0
55,二,叔,二叔,二叔,2.0,8.0,16814.0,5419.0,,2,0.0,0.0,0.0
56,二,姑,二姑,二姑,2.0,8.0,16814.0,5640.0,,2,0.0,0.0,0.0
57,二,胡,二胡,二胡,2.0,9.0,16814.0,5787.0,,2,0.0,0.0,0.0
58,二,等,二等,二等,2.0,12.0,16814.0,71184.0,63.0,2,0.0,0.0,0.0
59,二,楼,二樓,二楼,2.0,15.0,16814.0,9176.0,,2,0.0,0.0,0.0
60,人,力,人力,人力,2.0,2.0,373292.0,44859.0,168.0,5,0.0,0.0,0.0
61,人,口,人口,人口,2.0,3.0,373292.0,21385.0,555.0,5,0.0,0.0,0.0
62,人,士,人士,人士,2.0,3.0,373292.0,31972.0,592.0,5,0.0,0.0,0.0
63,人,工,人工,人工,2.0,3.0,373292.0,44548.0,204.0,5,0.0,0.0,0.0
64,人,才,人才,人才,2.0,3.0,373292.0,46044.0,443.0,5,0.0,0.0,0.0
65,人,手,人手,人手,2.0,4.0,373292.0,75608.0,162.0,5,0.0,0.0,0.0
66,人,文,人文,人文,2.0,4.0,373292.0,14196.0,12.0,5,0.0,0.0,0.0
67,人,世,人世,人世,2.0,5.0,373292.0,21566.0,125.0,5,0.0,0.0,0.0
68,人,奶,人奶,人奶,2.0,5.0,373292.0,8037.0,,5,0.0,0.0,0.0
69,人,民,人民,人民,2.0,5.0,373292.0,9468.0,1661.0,5,0.0,0.0,0.0
70,人,生,人生,人生,2.0,5.0,373292.0,162725.0,2852.0,5,0.0,0.0,0.0
71,人,名,人名,人名,2.0,6.0,373292.0,43229.0,28.0,5,0.0,0.0,0.0
72,人,次,人次,人次,2.0,6.0,373292.0,58108.0,3.0,5,0.0,0.0,0.0
