,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-raw-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2
39,一,道,一道,一道,1.0,13.0,604056.0,230531.0,64.0,10,0.0,0.0,0.0
192,上,市,上市,上市,3.0,5.0,236451.0,10453.0,120.0,4,0.0,0.0,0.0
193,上,任,上任,上任,3.0,6.0,236451.0,34349.0,89.0,4,0.0,0.0,0.0
197,上,色,上色,上色,3.0,6.0,236451.0,21624.0,30.0,4,0.0,0.0,0.0
228,上,场,上場,上场,3.0,12.0,236451.0,34746.0,648.0,4,0.0,0.0,0.0
236,上,诉,上訴,上诉,3.0,12.0,236451.0,65753.0,310.0,4,0.0,0.0,0.0
266,下,册,下冊,下册,3.0,5.0,153565.0,1372.0,,4,0.0,0.0,0.0
300,下,棋,下棋,下棋,3.0,12.0,153565.0,665.0,96.0,4,0.0,0.0,0.0
323,下,颚,下顎,下颚,3.0,18.0,153565.0,106.0,73.0,4,0.0,0.0,0.0
419,大,户,大戶,大户,3.0,4.0,135159.0,5836.0,5.0,1,0.0,0.0,0.0
420,大,方,大方,大方,3.0,4.0,135159.0,52743.0,150.0,1,0.0,0.0,0.0
471,大,殿,大殿,大殿,3.0,13.0,135159.0,1372.0,10.0,1,0.0,0.0,0.0
537,小,弟,小弟,小弟,3.0,7.0,99468.0,17768.0,229.0,2,0.0,0.0,0.0
563,小,艇,小艇,小艇,3.0,13.0,99468.0,1110.0,29.0,2,0.0,0.0,0.0
614,工,匠,工匠,工匠,3.0,6.0,44548.0,535.0,36.0,12,0.0,0.0,0.0
620,工,时,工時,工时,3.0,10.0,44548.0,162611.0,10.0,12,0.0,0.0,0.0
624,工,会,工會,工会,3.0,13.0,44548.0,321488.0,194.0,12,0.0,0.0,0.0
644,才,子,才子,才子,3.0,3.0,46044.0,177693.0,12.0,4,0.0,0.0,0.0
672,不,但,不但,不但,4.0,7.0,904675.0,122236.0,260.0,12,0.0,0.0,0.0
710,不,单,不單,不单,4.0,12.0,904675.0,18894.0,82.0,12,0.0,0.0,0.0
722,不,该,不該,不该,4.0,13.0,904675.0,80641.0,,12,0.0,0.0,0.0
748,中,伏,中伏,中伏,4.0,6.0,69745.0,1434.0,,6,0.0,0.0,0.0
762,中,庸,中庸,中庸,4.0,11.0,69745.0,378.0,13.0,6,0.0,0.0,0.0
768,中,等,中等,中等,4.0,12.0,69745.0,71184.0,100.0,6,0.0,0.0,0.0
773,中,枢,中樞,中枢,4.0,15.0,69745.0,116.0,56.0,6,0.0,0.0,0.0
792,之,前,之前,之前,4.0,9.0,64755.0,75236.0,15187.0,11,0.0,0.0,0.0
843,今,后,今後,今后,4.0,9.0,44976.0,109915.0,316.0,9,0.0,0.0,0.0
845,今,晨,今晨,今晨,4.0,11.0,44976.0,2163.0,47.0,9,0.0,0.0,0.0
881,内,政,內政,内政,4.0,9.0,19071.0,8186.0,49.0,1,0.0,0.0,0.0
910,公,升,公升,公升,4.0,4.0,39292.0,4362.0,22.0,12,0.0,0.0,0.0
914,公,主,公主,公主,4.0,5.0,39292.0,28628.0,1219.0,12,0.0,0.0,0.0
918,公,正,公正,公正,4.0,5.0,39292.0,57215.0,599.0,12,0.0,0.0,0.0
984,凶,器,凶器,凶器,4.0,16.0,6967.0,16613.0,822.0,4,0.0,0.0,0.0
989,分,化,分化,分化,4.0,4.0,48396.0,11248.0,32.0,6,0.0,0.0,0.0
1029,分,割,分割,分割,4.0,12.0,48396.0,1534.0,38.0,6,0.0,0.0,0.0
1047,分,辨,分辨,分辨,4.0,16.0,48396.0,764.0,241.0,6,0.0,0.0,0.0
1051,分,钟,分鐘,分钟,4.0,20.0,48396.0,14858.0,11029.0,6,0.0,0.0,0.0
1057,切,片,切片,切片,4.0,4.0,28202.0,21431.0,75.0,6,0.0,0.0,0.0
1064,切,削,切削,切削,4.0,9.0,28202.0,437.0,2.0,6,0.0,0.0,0.0
1075,切,腹,切腹,切腹,4.0,13.0,28202.0,873.0,,6,0.0,0.0,0.0
1113,升,班,升班,升班,4.0,10.0,4362.0,11120.0,,6,0.0,0.0,0.0
1144,友,谊,友誼,友谊,4.0,15.0,40149.0,944.0,651.0,6,0.0,0.0,0.0
1176,反,驳,反駁,反驳,4.0,14.0,15920.0,457.0,143.0,2,0.0,0.0,0.0
1187,反,响,反響,反响,4.0,21.0,15920.0,5955.0,68.0,2,0.0,0.0,0.0
1223,天,幕,天幕,天幕,4.0,14.0,127053.0,2616.0,2.0,2,0.0,0.0,0.0
1227,天,赋,天賦,天赋,4.0,15.0,127053.0,1481.0,1110.0,2,0.0,0.0,0.0
1233,天,边,天邊,天边,4.0,19.0,127053.0,30972.0,15.0,2,0.0,0.0,0.0
1239,太,平,太平,太平,4.0,5.0,80890.0,14739.0,85.0,7,0.0,0.0,0.0
1307,引,力,引力,引力,4.0,2.0,9297.0,44859.0,125.0,5,0.0,0.0,0.0
1325,引,进,引進,引进,4.0,12.0,9297.0,55676.0,67.0,5,0.0,0.0,0.0
1334,引,证,引證,引证,4.0,19.0,9297.0,30165.0,4.0,5,0.0,0.0,0.0
1348,心,悸,心悸,心悸,4.0,11.0,83418.0,59.0,15.0,9,0.0,0.0,0.0
1364,心,肠,心腸,心肠,4.0,13.0,83418.0,1566.0,103.0,9,0.0,0.0,0.0
1420,手,锯,手鋸,手锯,4.0,16.0,75608.0,486.0,3.0,3,0.0,0.0,0.0
1422,手,臂,手臂,手臂,4.0,17.0,75608.0,1487.0,834.0,3,0.0,0.0,0.0
1433,支,出,支出,支出,4.0,5.0,11697.0,129404.0,84.0,11,0.0,0.0,0.0
