,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-log-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-log-C2,C&B-Subtitle-raw-W,C&B-Subtitle-log-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2,Stroke_M,HD_M
496,女,人,女人,女人,3,2,76693.0,4.88,373292.0,5.57,14388.0,4.16,2.0,5.0,259.0,219.0,2.5,3.5
497,女,士,女士,女士,3,3,76693.0,4.88,31972.0,4.5,10544.0,4.02,2.0,29.0,259.0,306.0,3.0,15.5
505,女,儿,女兒,女儿,3,8,76693.0,4.88,105402.0,5.02,8450.0,3.93,2.0,3.0,259.0,219.0,5.5,2.5
508,女,孩,女孩,女孩,3,9,76693.0,4.88,62601.0,4.8,13197.0,4.12,2.0,3.0,259.0,220.0,6.0,2.5
836,今,天,今天,今天,4,4,44976.0,4.65,127053.0,5.1,24750.0,4.39,9.0,2.0,277.0,277.0,4.0,5.5
1051,分,钟,分鐘,分钟,4,20,48396.0,4.68,14858.0,4.17,11029.0,4.04,6.0,6.0,306.0,277.0,12.0,6.0
1203,天,使,天使,天使,4,8,127053.0,5.1,16913.0,4.23,1733.0,3.24,2.0,7.0,277.0,262.0,6.0,4.5
1453,文,件,文件,文件,4,6,14196.0,4.15,31611.0,4.5,2698.0,3.43,6.0,19.0,220.0,305.0,5.0,12.5
1765,父,母,父母,父母,4,5,22065.0,4.34,15556.0,4.19,5081.0,3.71,16.0,6.0,306.0,260.0,4.5,11.0
1769,父,亲,父親,父亲,4,16,22065.0,4.34,42501.0,4.63,12399.0,4.09,16.0,3.0,306.0,276.0,10.0,9.5
1837,世,界,世界,世界,5,9,21566.0,4.33,15995.0,4.2,11721.0,4.07,29.0,8.0,306.0,306.0,7.0,18.5
1845,主,人,主人,主人,5,2,28628.0,4.46,373292.0,5.57,1515.0,3.18,7.0,5.0,262.0,219.0,3.5,6.0
1866,主,修,主修,主修,5,10,28628.0,4.46,7799.0,3.89,74.0,1.87,7.0,5.0,262.0,277.0,7.5,6.0
1881,主,意,主意,主意,5,13,28628.0,4.46,103354.0,5.01,6144.0,3.79,7.0,37.0,262.0,306.0,9.0,22.0
1938,代,理,代理,代理,5,11,15142.0,4.18,41099.0,4.61,438.0,2.64,10.0,9.0,305.0,262.0,8.0,9.5
1967,兄,弟,兄弟,兄弟,5,7,14373.0,4.16,17768.0,4.25,8631.0,3.94,4.0,10.0,276.0,306.0,6.0,7.0
2748,未,来,未來,未来,5,8,11246.0,4.05,377902.0,5.58,3440.0,3.54,13.0,5.0,306.0,218.0,6.5,9.0
2859,母,亲,母親,母亲,5,16,15556.0,4.19,42501.0,4.63,6195.0,3.79,6.0,3.0,260.0,276.0,10.5,4.5
3313,伙,伴,伙伴,伙伴,6,7,37637.0,4.58,4854.0,3.69,1200.0,3.08,3.0,7.0,261.0,305.0,6.5,5.0
3370,光,荣,光榮,光荣,6,14,17286.0,4.24,4688.0,3.67,366.0,2.56,2.0,12.0,277.0,217.0,10.0,7.0
3773,地,区,地區,地区,6,11,78129.0,4.89,11770.0,4.07,1519.0,3.18,10.0,10.0,306.0,277.0,8.5,10.0
3859,好,处,好處,好处,6,11,412760.0,5.62,28742.0,4.46,1776.0,3.25,8.0,4.0,304.0,306.0,8.5,6.0
3899,字,母,字母,字母,6,5,22743.0,4.36,15556.0,4.19,672.0,2.83,5.0,6.0,305.0,260.0,5.5,5.5
