Word_Sim,Character-1,Character-2,C&B-Subtitle-raw-W,C&B-Subtitle-log-W,HD_M,Stroke-mean-Sim,Neighborhood-mean,pinyin,pinyinword
一刀,一,刀,,,5.5,1.5,277.5,"['yi', 'dao']",yidao
一口,一,口,,,5.5,2.0,269.5,"['yi', 'kou']",yikou
一分,一,分,952.0,2.98,8.0,2.5,292.0,"['yi', 'fen']",yifen
一切,一,切,21709.0,4.34,8.0,2.5,291.5,"['yi', 'qie']",yiqie
一心,一,心,137.0,2.14,9.5,2.5,277.0,"['yi', 'xin']",yixin
一手,一,手,107.0,2.03,6.5,2.5,269.5,"['yi', 'shou']",yishou
一斤,一,斤,,,9.5,2.5,277.5,"['yi', 'jin']",yijin
一半,一,半,2633.0,3.42,8.5,3.0,291.5,"['yi', 'ban']",yiban
一旦,一,旦,2922.0,3.47,10.0,3.0,291.5,"['yi', 'dan']",yidan
一生,一,生,2437.0,3.39,8.0,3.0,278.0,"['yi', 'sheng']",yisheng
一共,一,共,507.0,2.71,6.0,3.5,291.5,"['yi', 'gong']",yigong
一再,一,再,68.0,1.83,6.5,3.5,291.5,"['yi', 'zai']",yizai
一同,一,同,276.0,2.44,9.5,3.5,249.0,"['yi', 'tong']",yitong
一向,一,向,510.0,2.71,8.0,3.5,292.0,"['yi', 'xiang']",yixiang
一早,一,早,326.0,2.51,7.5,3.5,269.5,"['yi', 'zao']",yizao
一些,一,些,17133.0,4.23,6.5,4.5,278.0,"['yi', 'xie']",yixie
一并,一,并,27.0,1.43,7.0,3.5,291.5,"['yi', 'bing']",yibing
一来,一,来,162.0,2.21,7.5,4.0,248.0,"['yi', 'lai']",yilai
一味,一,味,10.0,1.0,11.5,4.5,292.0,"['yi', 'wei']",yiwei
一定,一,定,20273.0,4.31,7.5,4.5,291.5,"['yi', 'ding']",yiding
一直,一,直,24551.0,4.39,11.0,4.5,249.0,"['yi', 'zhi']",yizhi
一则,一,则,8.0,0.9,8.0,3.5,247.5,"['yi', 'ze']",yize
一度,一,度,80.0,1.9,9.0,5.0,292.0,"['yi', 'du']",yidu
一律,一,律,31.0,1.49,7.5,5.0,291.5,"['yi', 'lv']",yilv
一流,一,流,346.0,2.54,10.0,5.5,249.0,"['yi', 'liu']",yiliu
一致,一,致,1087.0,3.04,16.0,5.5,292.0,"['yi', 'zhi']",yizhi
一面,一,面,887.0,2.95,6.0,5.0,291.5,"['yi', 'mian']",yimian
一旁,一,旁,129.0,2.11,6.5,5.5,248.5,"['yi', 'pang']",yipang
一时,一,时,583.0,2.77,10.0,4.0,249.0,"['yi', 'shi']",yishi
一般,一,般,2586.0,3.41,9.0,5.5,277.5,"['yi', 'ban']",yiban
一起,一,起,32889.0,4.52,7.5,5.5,270.0,"['yi', 'qi']",yiqi
一阵,一,阵,499.0,2.7,8.5,3.5,291.5,"['yi', 'zhen']",yizhen
一带,一,带,172.0,2.24,10.0,5.0,291.5,"['yi', 'dai']",yidai
一贯,一,贯,163.0,2.21,9.0,4.5,291.5,"['yi', 'guan']",yiguan
一块,一,块,233.0,2.37,8.5,4.0,290.5,"['yi', 'kuai']",yikuai
一会,一,会,1013.0,3.01,12.5,3.5,292.0,"['yi', 'hui']",yihui
一概,一,概,17.0,1.23,6.5,7.0,291.5,"['yi', 'gai']",yigai
一经,一,经,16.0,1.2,12.0,4.5,277.5,"['yi', 'jing']",yijing
一路,一,路,1001.0,3.0,11.5,7.0,291.5,"['yi', 'lu']",yilu
一道,一,道,64.0,1.81,9.0,6.5,291.5,"['yi', 'dao']",yidao
一齐,一,齐,44.0,1.64,16.5,3.5,249.0,"['yi', 'qi']",yiqi
一样,一,样,28861.0,4.46,7.0,5.5,292.0,"['yi', 'yang']",yiyang
一点,一,点,20342.0,4.31,7.0,5.0,269.5,"['yi', 'dian']",yidian
一边,一,边,2594.0,3.41,7.5,3.0,277.5,"['yi', 'bian']",yibian
一体,一,体,126.0,2.1,5.5,4.0,270.0,"['yi', 'ti']",yiti
丁级,丁,级,,,11.5,4.0,248.5,"['ding', 'ji']",dingji
七夕,七,夕,,,8.0,2.5,292.0,"['qi', 'xi']",qixi
七彩,七,彩,4.0,0.6,7.0,6.5,270.0,"['qi', 'cai']",qicai
乃至,乃,至,21.0,1.32,13.0,4.0,283.0,"['nai', 'zhi']",naizhi
了却,了,却,9.0,0.95,4.0,4.5,283.0,"['liao', 'que']",liaoque
了得,了,得,14.0,1.15,2.0,6.5,260.0,"['liao', 'de']",liaode
了结,了,结,475.0,2.68,8.0,5.5,240.5,"['liao', 'jie']",liaojie
了解,了,解,10127.0,4.01,3.5,7.5,261.5,"['liao', 'jie']",liaojie
了断,了,断,126.0,2.1,4.0,6.5,283.0,"['liao', 'duan']",liaoduan
二手,二,手,89.0,1.95,2.5,3.0,283.0,"['er', 'shou']",ershou
二叔,二,叔,,,3.5,5.0,262.5,"['er', 'shu']",ershu
二姑,二,姑,,,6.5,5.0,291.0,"['er', 'gu']",ergu
二胡,二,胡,,,6.0,5.5,262.5,"['er', 'hu']",erhu
二等,二,等,63.0,1.8,1.5,7.0,283.0,"['er', 'deng']",erdeng
二楼,二,楼,,,2.5,7.5,262.0,"['er', 'lou']",erlou
人力,人,力,168.0,2.23,14.0,2.0,262.5,"['ren', 'li']",renli
人口,人,口,555.0,2.74,3.0,2.5,240.0,"['ren', 'kou']",renkou
人士,人,士,592.0,2.77,17.0,2.5,262.5,"['ren', 'shi']",renshi
人工,人,工,204.0,2.31,8.5,2.5,248.0,"['ren', 'gong']",rengong
人才,人,才,443.0,2.65,4.5,2.5,219.5,"['ren', 'cai']",rencai
人手,人,手,162.0,2.21,4.0,3.0,240.0,"['ren', 'shou']",renshou
人文,人,文,12.0,1.08,5.5,3.0,219.5,"['ren', 'wen']",renwen
人世,人,世,125.0,2.1,17.0,3.5,262.5,"['ren', 'shi']",renshi
人奶,人,奶,,,4.5,3.5,239.5,"['ren', 'nai']",rennai
人民,人,民,1661.0,3.22,4.5,3.5,218.5,"['ren', 'min']",renmin
人生,人,生,2852.0,3.46,5.5,3.5,248.5,"['ren', 'sheng']",rensheng
人名,人,名,28.0,1.45,6.0,4.0,219.0,"['ren', 'ming']",renming
人次,人,次,3.0,0.48,4.0,4.0,262.0,"['ren', 'ci']",renci
人身,人,身,189.0,2.28,7.5,4.5,248.5,"['ren', 'shen']",renshen
人事,人,事,112.0,2.05,17.0,5.0,262.5,"['ren', 'shi']",renshi
人命,人,命,178.0,2.25,3.0,5.0,262.0,"['ren', 'ming']",renming
人性,人,性,373.0,2.57,5.0,5.0,262.5,"['ren', 'xing']",renxing
人物,人,物,2014.0,3.3,9.0,5.0,262.5,"['ren', 'wu']",renwu
人品,人,品,64.0,1.81,3.0,5.5,240.5,"['ren', 'pin']",renpin
人流,人,流,32.0,1.51,7.5,6.0,219.5,"['ren', 'liu']",renliu
人为,人,为,80.0,1.9,9.0,3.0,219.5,"['ren', 'wei']",renwei
人们,人,们,7990.0,3.9,3.0,3.5,114.5,"['ren', 'men']",renmen
人员,人,员,2781.0,3.44,10.0,4.5,219.5,"['ren', 'yuan']",renyuan
人家,人,家,1027.0,3.01,9.0,6.0,248.5,"['ren', 'jia']",renjia
人格,人,格,362.0,2.56,7.0,6.0,219.5,"['ren', 'ge']",renge
人马,人,马,129.0,2.11,4.5,2.5,240.5,"['ren', 'ma']",renma
人参,人,参,30.0,1.48,3.5,5.0,248.0,"['ren', 'shen']",renshen
人情,人,情,207.0,2.32,4.0,6.5,219.5,"['ren', 'qing']",renqing
人造,人,造,186.0,2.27,5.5,6.0,262.0,"['ren', 'zao']",renzao
人间,人,间,350.0,2.54,10.5,4.5,248.0,"['ren', 'jian']",renjian
人猿,人,猿,26.0,1.41,10.0,7.5,219.5,"['ren', 'yuan']",renyuan
人瑞,人,瑞,,,5.0,7.5,261.5,"['ren', 'rui']",renrui
人群,人,群,622.0,2.79,3.5,7.5,218.0,"['ren', 'qun']",renqun
人道,人,道,86.0,1.93,6.5,7.0,262.0,"['ren', 'dao']",rendao
人种,人,种,84.0,1.92,4.5,5.5,240.0,"['ren', 'zhong']",renzhong
人称,人,称,41.0,1.61,3.5,6.0,248.5,"['ren', 'cheng']",rencheng
人际,人,际,29.0,1.46,14.5,4.5,262.5,"['ren', 'ji']",renji
人影,人,影,56.0,1.75,4.0,8.5,240.5,"['ren', 'ying']",renying
人数,人,数,448.0,2.65,7.0,7.5,240.5,"['ren', 'shu']",renshu
人潮,人,潮,,,4.0,8.5,219.0,"['ren', 'chao']",renchao
