Char,Stroke,HD,Num-neighbor,C&B_raw,C&B_log
一,1,10.0,278.0,604056.0,5.78
丁,2,4.0,277.0,3640.0,3.56
七,2,10.0,278.0,4094.0,3.61
乃,2,4.0,260.0,566.0,2.75
了,2,3.0,261.0,993990.0,6.0
二,2,2.0,305.0,16814.0,4.23
人,2,5.0,219.0,373292.0,5.57
入,2,4.0,305.0,24269.0,4.39
八,2,7.0,279.0,6222.0,3.79
刀,2,1.0,277.0,4999.0,3.7
刁,2,6.0,277.0,77.0,1.89
力,2,23.0,306.0,44859.0,4.65
匕,2,,,131.0,2.12
十,2,10.0,220.0,14731.0,4.17
卜,2,5.0,260.0,662.0,2.82
丈,3,8.0,305.0,6238.0,3.8
三,3,2.0,277.0,26275.0,4.42
上,3,4.0,305.0,236451.0,5.37
下,3,4.0,305.0,153565.0,5.19
丫,3,5.0,279.0,507.0,2.71
丸,3,6.0,220.0,771.0,2.89
久,3,6.0,261.0,15073.0,4.18
么,3,8.0,278.0,557804.0,5.75
乞,3,5.0,262.0,436.0,2.64
也,3,4.0,262.0,159926.0,5.2
亡,3,2.0,219.0,6086.0,3.78
凡,3,10.0,220.0,1875.0,3.27
千,3,12.0,278.0,7954.0,3.9
叉,3,5.0,277.0,906.0,2.96
口,3,1.0,261.0,21385.0,4.33
土,3,4.0,262.0,4871.0,3.69
士,3,29.0,306.0,31972.0,4.5
夕,3,6.0,306.0,474.0,2.68
大,3,1.0,306.0,135159.0,5.13
女,3,2.0,259.0,76693.0,4.88
子,3,6.0,261.0,177693.0,5.25
小,3,2.0,261.0,99468.0,5.0
山,3,12.0,277.0,8779.0,3.94
工,3,12.0,277.0,44548.0,4.65
已,3,8.0,262.0,65079.0,4.81
干,3,8.0,220.0,60971.0,4.79
弓,3,12.0,277.0,351.0,2.55
才,3,4.0,220.0,46044.0,4.66
不,4,12.0,304.0,904675.0,5.96
丑,4,2.0,262.0,2948.0,3.47
中,4,6.0,277.0,69745.0,4.84
丹,4,3.0,277.0,4890.0,3.69
之,3,11.0,278.0,64755.0,4.81
予,4,9.0,260.0,1630.0,3.21
互,4,8.0,306.0,3335.0,3.52
五,4,8.0,262.0,12246.0,4.09
井,4,9.0,261.0,1114.0,3.05
亢,4,,,73.0,1.86
什,4,10.0,220.0,307184.0,5.49
仁,4,5.0,219.0,1306.0,3.12
仆,4,4.0,278.0,814.0,2.91
仇,4,6.0,220.0,2085.0,3.32
今,4,9.0,277.0,44976.0,4.65
介,4,8.0,306.0,7696.0,3.89
仍,4,1.0,218.0,5117.0,3.71
允,4,3.0,263.0,2897.0,3.46
元,4,15.0,220.0,8765.0,3.94
内,4,1.0,303.0,19071.0,4.28
公,4,12.0,277.0,39292.0,4.59
冗,4,1.0,261.0,66.0,1.82
凶,4,4.0,276.0,6967.0,3.84
分,4,6.0,306.0,48396.0,4.68
切,4,6.0,305.0,28202.0,4.45
匀,4,3.0,219.0,91.0,1.96
勾,4,3.0,277.0,1240.0,3.09
化,4,5.0,305.0,11248.0,4.05
匹,4,4.0,262.0,2240.0,3.35
升,4,6.0,278.0,4362.0,3.64
午,4,8.0,262.0,8167.0,3.91
厄,4,14.0,305.0,1352.0,3.13
及,3,19.0,220.0,9979.0,4.0
友,4,6.0,262.0,40149.0,4.6
反,4,2.0,262.0,15920.0,4.2
天,4,2.0,277.0,127053.0,5.1
太,4,7.0,305.0,80890.0,4.91
夫,4,8.0,278.0,23767.0,4.38
夭,4,8.0,278.0,138.0,2.14
孔,4,2.0,261.0,1301.0,3.11
少,4,1.0,262.0,28266.0,4.45
尤,4,8.0,220.0,2679.0,3.43
尺,4,5.0,262.0,2651.0,3.42
屯,4,5.0,219.0,17.0,1.23
巴,4,7.0,279.0,14445.0,4.16
幻,4,6.0,306.0,3425.0,3.53
引,4,5.0,262.0,9297.0,3.97
心,4,9.0,276.0,83418.0,4.92
户,4,8.0,306.0,5836.0,3.77
手,4,3.0,261.0,75608.0,4.88
扎,4,3.0,278.0,2561.0,3.41
支,4,11.0,278.0,11697.0,4.07
文,4,6.0,220.0,14196.0,4.15
斗,4,6.0,305.0,6328.0,3.8
斤,4,9.0,277.0,369.0,2.57
方,4,4.0,278.0,52743.0,4.72
日,4,1.0,303.0,23151.0,4.36
月,4,9.0,304.0,16675.0,4.22
木,4,12.0,304.0,4924.0,3.69
欠,4,6.0,306.0,2962.0,3.47
止,4,11.0,262.0,14732.0,4.17
歹,4,2.0,261.0,286.0,2.46
比,4,5.0,262.0,51838.0,4.71
毛,4,5.0,219.0,6487.0,3.81
氏,4,29.0,306.0,893.0,2.95
水,4,1.0,260.0,21793.0,4.34
火,4,3.0,261.0,18479.0,4.27
爪,4,3.0,261.0,563.0,2.75
父,4,16.0,306.0,22065.0,4.34
片,4,3.0,304.0,21431.0,4.33
牙,4,5.0,221.0,6365.0,3.8
牛,4,1.0,219.0,7043.0,3.85
犬,4,1.0,262.0,1055.0,3.02
王,4,2.0,219.0,9733.0,3.99
且,5,1.0,261.0,24774.0,4.39
世,5,29.0,306.0,21566.0,4.33
丙,5,7.0,261.0,197.0,2.29
主,5,7.0,262.0,28628.0,4.46
乏,4,5.0,219.0,888.0,2.95
仔,5,6.0,261.0,3497.0,3.54
仕,5,29.0,306.0,63.0,1.8
他,5,7.0,277.0,564477.0,5.75
仗,5,8.0,305.0,832.0,2.92
付,5,16.0,306.0,10729.0,4.03
仙,5,6.0,278.0,1174.0,3.07
代,5,10.0,305.0,15142.0,4.18
以,4,8.0,262.0,184508.0,5.27
兄,5,4.0,276.0,14373.0,4.16
充,6,3.0,277.0,4670.0,3.67
册,5,5.0,303.0,1372.0,3.14
冬,5,5.0,277.0,1099.0,3.04
凸,5,8.0,220.0,109.0,2.04
凹,5,2.0,277.0,150.0,2.18
出,5,4.0,278.0,129404.0,5.11
刊,5,3.0,277.0,604.0,2.78
功,5,12.0,277.0,9452.0,3.98
加,5,13.0,278.0,38160.0,4.58
包,5,5.0,277.0,13742.0,4.14
匆,5,5.0,276.0,514.0,2.71
北,5,1.0,261.0,3768.0,3.58
半,5,7.0,305.0,10910.0,4.04
占,5,9.0,305.0,2291.0,3.36
卡,5,2.0,261.0,19536.0,4.29
去,5,3.0,305.0,232346.0,5.37
古,5,7.0,261.0,6114.0,3.79
句,5,15.0,306.0,6640.0,3.82
另,5,2.0,306.0,13372.0,4.13
叨,5,5.0,278.0,521.0,2.72
叩,5,6.0,305.0,26.0,1.41
只,5,11.0,262.0,117406.0,5.07
叫,5,7.0,305.0,41269.0,4.62
召,5,7.0,305.0,1546.0,3.19
叮,5,4.0,277.0,490.0,2.69
可,5,2.0,262.0,212670.0,5.33
台,5,4.0,219.0,13404.0,4.13
叱,5,7.0,306.0,14.0,1.15
史,5,7.0,262.0,8002.0,3.9
右,5,11.0,306.0,4783.0,3.68
司,5,12.0,277.0,15818.0,4.2
囚,5,9.0,219.0,1119.0,3.05
四,5,11.0,305.0,13242.0,4.12
外,5,1.0,304.0,31747.0,4.5
央,5,4.0,278.0,891.0,2.95
失,5,10.0,278.0,28189.0,4.45
奴,5,2.0,219.0,1224.0,3.09
奶,5,4.0,260.0,8037.0,3.91
孕,5,6.0,305.0,3253.0,3.51
它,5,7.0,277.0,61272.0,4.79
尼,5,4.0,219.0,19533.0,4.29
左,5,2.0,260.0,5160.0,3.71
巧,5,2.0,262.0,5321.0,3.73
巨,4,15.0,306.0,3124.0,3.49
市,5,29.0,306.0,10453.0,4.02
布,5,12.0,304.0,18253.0,4.26
平,5,11.0,217.0,14739.0,4.17
幼,5,11.0,306.0,937.0,2.97
弘,5,8.0,219.0,323.0,2.51
必,5,25.0,306.0,27960.0,4.45
扒,5,4.0,219.0,240.0,2.38
打,5,1.0,262.0,79262.0,4.9
扔,5,1.0,276.0,5106.0,3.71
斥,5,7.0,306.0,423.0,2.63
曱,5,,,,
未,5,13.0,306.0,11246.0,4.05
末,5,13.0,306.0,3773.0,3.58
本,5,2.0,261.0,41063.0,4.61
札,5,3.0,220.0,62.0,1.79
正,5,5.0,305.0,57215.0,4.76
母,5,6.0,260.0,15556.0,4.19
民,5,4.0,218.0,9468.0,3.98
永,5,12.0,260.0,12756.0,4.11
泛,7,6.0,306.0,396.0,2.6
汁,5,11.0,278.0,1591.0,3.2
犯,5,6.0,306.0,17722.0,4.25
玄,5,4.0,219.0,190.0,2.28
玉,5,42.0,276.0,1240.0,3.09
瓜,5,6.0,277.0,3315.0,3.52
瓦,4,1.0,262.0,3721.0,3.57
甘,5,7.0,276.0,1213.0,3.08
生,5,6.0,278.0,162725.0,5.21
用,5,2.0,304.0,79299.0,4.9
甩,5,1.0,261.0,1719.0,3.24
田,5,6.0,219.0,1819.0,3.26
由,5,8.0,220.0,15733.0,4.2
甲,5,5.0,262.0,2487.0,3.4
申,5,10.0,278.0,2358.0,3.37
白,5,1.0,220.0,41987.0,4.62
皮,5,8.0,220.0,9160.0,3.96
目,5,12.0,304.0,22482.0,4.35
矛,5,5.0,219.0,752.0,2.88
矢,5,7.0,262.0,123.0,2.09
石,5,10.0,305.0,6896.0,3.84
示,5,29.0,306.0,9413.0,3.97
禾,5,12.0,219.0,7.0,0.85
穴,5,3.0,306.0,705.0,2.85
立,5,23.0,306.0,10194.0,4.01
丞,6,,,4.0,0.6
丢,6,2.0,275.0,6145.0,3.79
乒,6,1.0,277.0,157.0,2.2
交,6,14.0,277.0,19619.0,4.29
亥,6,5.0,306.0,215.0,2.33
仰,6,4.0,262.0,1904.0,3.28
仲,6,2.0,305.0,116.0,2.06
件,6,19.0,305.0,31611.0,4.5
任,6,6.0,305.0,34349.0,4.54
份,6,6.0,306.0,14754.0,4.17
仿,6,3.0,262.0,1499.0,3.18
企,6,13.0,306.0,1401.0,3.15
伉,6,,,3.0,0.48
伊,6,10.0,278.0,10181.0,4.01
伎,6,24.0,306.0,242.0,2.38
伏,6,17.0,220.0,1434.0,3.16
伐,6,3.0,277.0,340.0,2.53
休,6,5.0,277.0,8504.0,3.93
伙,6,3.0,261.0,37637.0,4.58
兆,6,7.0,305.0,718.0,2.86
先,6,6.0,278.0,71253.0,4.85
光,6,2.0,277.0,17286.0,4.24
全,6,9.0,220.0,47545.0,4.68
共,6,2.0,305.0,7769.0,3.89
再,6,3.0,305.0,78039.0,4.89
冰,6,2.0,277.0,6145.0,3.79
刑,6,5.0,220.0,2801.0,3.45
划,6,5.0,219.0,11871.0,4.07
列,6,8.0,304.0,4646.0,3.67
劣,6,8.0,304.0,646.0,2.81
